=== INVENTÁRIO DE SOFTWARE - DEBIAN 13 ===
Gerado em: qua 01 jul 2026 00:20:02 -03
=========================================

[1. APT / SYSTEM PACKAGES]
Origem: APT | Pacote: libduktape207 | Versão: 2.7.0-2+b2
Origem: APT | Pacote: libdv4t64 | Versão: 1.0.0-17.1+b1
Origem: APT | Pacote: libdvdnav4 | Versão: 6.1.1-3+b1
Origem: APT | Pacote: libdvdread8t64 | Versão: 6.1.3-2
Origem: APT | Pacote: libdw1t64 | Versão: 0.192-4
Origem: APT | Pacote: libe-book-0.1-1 | Versão: 0.1.3-2+b4
Origem: APT | Pacote: libebur128-1 | Versão: 1.2.6-1+b2
Origem: APT | Pacote: libedit2 | Versão: 3.1-20250104-1
Origem: APT | Pacote: libefiboot1t64 | Versão: 38-3.1+b1
Origem: APT | Pacote: libefivar1t64 | Versão: 38-3.1+b1
Origem: APT | Pacote: libegl-mesa0 | Versão: 25.0.7-2
Origem: APT | Pacote: libegl-nvidia0 | Versão: 610.43.02-1
Origem: APT | Pacote: libegl1 | Versão: 1.7.0-1+b2
Origem: APT | Pacote: libelf1t64 | Versão: 0.192-4
Origem: APT | Pacote: libencode-locale-perl | Versão: 1.05-3
Origem: APT | Pacote: libeot0 | Versão: 0.01-5+b2
Origem: APT | Pacote: libepoxy0 | Versão: 1.5.10-2
Origem: APT | Pacote: libepubgen-0.1-1 | Versão: 0.1.1-1+b2
Origem: APT | Pacote: libetonyek-0.1-1 | Versão: 0.1.12-1
Origem: APT | Pacote: libexpat1 | Versão: 2.7.1-2
Origem: APT | Pacote: libext2fs2t64 | Versão: 1.47.2-3+b11
Origem: APT | Pacote: libexttextcat-2.0-0 | Versão: 3.4.7-1+b1
Origem: APT | Pacote: libexttextcat-data | Versão: 3.4.7-1
Origem: APT | Pacote: libfaad2 | Versão: 2.11.2-1
Origem: APT | Pacote: libfakeroot | Versão: 1.37.1.1-1
Origem: APT | Pacote: libfdisk1 | Versão: 2.41-5
Origem: APT | Pacote: libffi8 | Versão: 3.4.8-2
Origem: APT | Pacote: libfftw3-double3 | Versão: 3.3.10-2+b1
Origem: APT | Pacote: libfftw3-single3 | Versão: 3.3.10-2+b1
Origem: APT | Pacote: libfido2-1 | Versão: 1.15.0-1+b1
Origem: APT | Pacote: libfile-basedir-perl | Versão: 0.09-2
Origem: APT | Pacote: libfile-desktopentry-perl | Versão: 0.22-3
Origem: APT | Pacote: libfile-fcntllock-perl | Versão: 0.22-4+b4
Origem: APT | Pacote: libfile-listing-perl | Versão: 6.16-1
Origem: APT | Pacote: libfile-mimeinfo-perl | Versão: 0.35-1
Origem: APT | Pacote: libflac14 | Versão: 1.5.0+ds-2
Origem: APT | Pacote: libflite1 | Versão: 2.2-7
Origem: APT | Pacote: libfluidsynth3 | Versão: 2.4.4+dfsg-1+deb13u2
Origem: APT | Pacote: libfont-afm-perl | Versão: 1.20-4
Origem: APT | Pacote: libfontconfig1 | Versão: 2.15.0-2.3
Origem: APT | Pacote: libfontenc1 | Versão: 1:1.1.8-1+b2
Origem: APT | Pacote: libfreeaptx0 | Versão: 0.2.2-1
Origem: APT | Pacote: libfreetype6 | Versão: 2.13.3+dfsg-1+deb13u1
Origem: APT | Pacote: libfribidi0 | Versão: 1.0.16-1
Origem: APT | Pacote: libfstrm0 | Versão: 0.6.1-1+b3
Origem: APT | Pacote: libfuse3-4 | Versão: 3.17.2-3
Origem: APT | Pacote: libgbm1 | Versão: 25.0.7-2
Origem: APT | Pacote: libgcc-14-dev | Versão: 14.2.0-19
Origem: APT | Pacote: libgcc-s1 | Versão: 14.2.0-19
Origem: APT | Pacote: libgcrypt20 | Versão: 1.11.0-7+deb13u1
Origem: APT | Pacote: libgdbm-compat4t64 | Versão: 1.24-2
Origem: APT | Pacote: libgdbm6t64 | Versão: 1.24-2
Origem: APT | Pacote: libgdk-pixbuf-2.0-0 | Versão: 2.42.12+dfsg-4+deb13u1
Origem: APT | Pacote: libgdk-pixbuf2.0-bin | Versão: 2.42.12+dfsg-4+deb13u1
Origem: APT | Pacote: libgdk-pixbuf2.0-common | Versão: 2.42.12+dfsg-4+deb13u1
Origem: APT | Pacote: libgfortran5 | Versão: 14.2.0-19
Origem: APT | Pacote: libgif7 | Versão: 5.2.2-1+b1
Origem: APT | Pacote: libgl1 | Versão: 1.7.0-1+b2
Origem: APT | Pacote: libgl1-mesa-dri | Versão: 25.0.7-2
