=== INVENTÁRIO DE SOFTWARE - AMDY (OMARCHY/ARCH) ===
Gerado em: Wed Jul  1 12:22:58 AM -03 2026
===================================================

[1. PACMAN OFFICIAL PACKAGES]
Origem: Pacman (Oficial) | Pacote: exfatprogs | Versão: 1.3.2-1
Origem: Pacman (Oficial) | Pacote: exiv2 | Versão: 0.28.8-2
Origem: Pacman (Oficial) | Pacote: expac | Versão: 10-12
Origem: Pacman (Oficial) | Pacote: expat | Versão: 2.8.1-1
Origem: Pacman (Oficial) | Pacote: eza | Versão: 0.23.4-3
Origem: Pacman (Oficial) | Pacote: fakeroot | Versão: 1.38.1-1
Origem: Pacman (Oficial) | Pacote: fastfetch | Versão: 2.63.1-1
Origem: Pacman (Oficial) | Pacote: fcitx5 | Versão: 5.1.19-1
Origem: Pacman (Oficial) | Pacote: fcitx5-gtk | Versão: 5.1.6-1
Origem: Pacman (Oficial) | Pacote: fcitx5-qt | Versão: 5.1.13-5
Origem: Pacman (Oficial) | Pacote: fd | Versão: 10.4.2-2
Origem: Pacman (Oficial) | Pacote: ffmpeg | Versão: 2:8.1.1-2
Origem: Pacman (Oficial) | Pacote: ffmpegthumbnailer | Versão: 2.3.0-1
Origem: Pacman (Oficial) | Pacote: fftw | Versão: 3.3.11-1
Origem: Pacman (Oficial) | Pacote: file | Versão: 5.47-3
Origem: Pacman (Oficial) | Pacote: filesystem | Versão: 2025.10.12-1
Origem: Pacman (Oficial) | Pacote: findutils | Versão: 4.10.0-3
Origem: Pacman (Oficial) | Pacote: firefox | Versão: 151.0.1-1
Origem: Pacman (Oficial) | Pacote: flac | Versão: 1.5.0-1
Origem: Pacman (Oficial) | Pacote: flatpak | Versão: 1:1.16.6-1
Origem: Pacman (Oficial) | Pacote: flex | Versão: 2.6.4-6
Origem: Pacman (Oficial) | Pacote: fmt | Versão: 12.1.0-2
Origem: Pacman (Oficial) | Pacote: fontconfig | Versão: 2:2.17.1-1
Origem: Pacman (Oficial) | Pacote: freeglut | Versão: 3.8.0-1
Origem: Pacman (Oficial) | Pacote: freetype2 | Versão: 2.14.3-1
Origem: Pacman (Oficial) | Pacote: frei0r-plugins | Versão: 3.1.3-1
Origem: Pacman (Oficial) | Pacote: fribidi | Versão: 1.0.16-2
Origem: Pacman (Oficial) | Pacote: fuse-common | Versão: 3.18.2-1
Origem: Pacman (Oficial) | Pacote: fuse3 | Versão: 3.18.2-1
Origem: Pacman (Oficial) | Pacote: fzf | Versão: 0.72.0-1
Origem: Pacman (Oficial) | Pacote: gamemode | Versão: 1.8.2-2
Origem: Pacman (Oficial) | Pacote: gamescope | Versão: 3.16.23-1
Origem: Pacman (Oficial) | Pacote: gavl | Versão: 2.0.1-2
Origem: Pacman (Oficial) | Pacote: gawk | Versão: 5.4.0-1
Origem: Pacman (Oficial) | Pacote: gc | Versão: 8.2.12-1
Origem: Pacman (Oficial) | Pacote: gcc | Versão: 16.1.1+r12+g301eb08fa2c5-1
Origem: Pacman (Oficial) | Pacote: gcc-libs | Versão: 16.1.1+r12+g301eb08fa2c5-1
Origem: Pacman (Oficial) | Pacote: gcr | Versão: 3.41.2-2
Origem: Pacman (Oficial) | Pacote: gcr-4 | Versão: 4.4.0.1-1
Origem: Pacman (Oficial) | Pacote: gdb | Versão: 17.2-1
Origem: Pacman (Oficial) | Pacote: gdb-common | Versão: 17.2-1
Origem: Pacman (Oficial) | Pacote: gdbm | Versão: 1.26-2
Origem: Pacman (Oficial) | Pacote: gdk-pixbuf2 | Versão: 2.44.6-2
Origem: Pacman (Oficial) | Pacote: gettext | Versão: 1.0-2
Origem: Pacman (Oficial) | Pacote: gexiv2 | Versão: 0.16.0-2
Origem: Pacman (Oficial) | Pacote: ghc-libs | Versão: 9.6.6-1
Origem: Pacman (Oficial) | Pacote: ghostscript | Versão: 10.07.1-1
Origem: Pacman (Oficial) | Pacote: giflib | Versão: 6.1.3-1
Origem: Pacman (Oficial) | Pacote: git | Versão: 2.54.0-1
Origem: Pacman (Oficial) | Pacote: github-cli | Versão: 2.92.0-2
Origem: Pacman (Oficial) | Pacote: gjs | Versão: 2:1.88.0-1
Origem: Pacman (Oficial) | Pacote: glfw | Versão: 1:3.4-1
Origem: Pacman (Oficial) | Pacote: glib-networking | Versão: 1:2.80.1-1
Origem: Pacman (Oficial) | Pacote: glib2 | Versão: 2.88.1-1
Origem: Pacman (Oficial) | Pacote: glibc | Versão: 2.43+r22+g8362e8ce10b2-2
Origem: Pacman (Oficial) | Pacote: glibmm | Versão: 2.66.8-1
Origem: Pacman (Oficial) | Pacote: glslang | Versão: 1:1.4.350.0-1
Origem: Pacman (Oficial) | Pacote: glu | Versão: 9.0.3-3
Origem: Pacman (Oficial) | Pacote: glycin | Versão: 2.1.1-1
Origem: Pacman (Oficial) | Pacote: glycin-gtk4 | Versão: 2.1.1-1
Origem: Pacman (Oficial) | Pacote: gmp | Versão: 6.3.0-3
Origem: Pacman (Oficial) | Pacote: gnome-autoar | Versão: 0.4.5-1
Origem: Pacman (Oficial) | Pacote: gnome-calculator | Versão: 50.0-1
Origem: Pacman (Oficial) | Pacote: gnome-desktop | Versão: 1:44.5-1
Origem: Pacman (Oficial) | Pacote: gnome-desktop-4 | Versão: 1:44.5-1
Origem: Pacman (Oficial) | Pacote: gnome-desktop-common | Versão: 1:44.5-1
Origem: Pacman (Oficial) | Pacote: gnome-disk-utility | Versão: 46.1-2
Origem: Pacman (Oficial) | Pacote: gnome-keyring | Versão: 1:50.0-1
Origem: Pacman (Oficial) | Pacote: gnome-themes-extra | Versão: 1:3.28-1
Origem: Pacman (Oficial) | Pacote: gnulib-l10n | Versão: 20241231-1
Origem: Pacman (Oficial) | Pacote: gnupg | Versão: 2.4.9-1
Origem: Pacman (Oficial) | Pacote: gnutls | Versão: 3.8.13-2
Origem: Pacman (Oficial) | Pacote: gobject-introspection-runtime | Versão: 1.86.0-2
